session_id,nb_idles,nb_responses,nb_correct,nb_help,taux_reussite,temps_moyen_reponse,duree_secondes,nb_interactions,score_engagement,etat_affectif
4aa91776-29f7-4a59-a876-880e832baad9,0,5,4,2,0.8,9.2,52,6,0.95,neutre
69563b58-fd7e-426e-94f0-209ec081740e,0,6,6,0,1.0,136.8,446,38,0.609,neutre
b40798ef-b54e-4ac9-92e7-fd577e2fe282,0,3,2,2,0.667,15.0,82,44,0.34,engagement_faible
d0fdb68b-af47-42a9-8e2f-05476cc648d1,0,4,0,0,0.0,8.8,47,20,0.719,neutre
738fd4a4-6779-467b-a366-20968d5b37ab,0,3,3,0,1.0,3.0,13,6,0.829,engagement_eleve
1c6e880c-f49f-4bba-bb17-46cadca97fcd,0,5,5,0,1.0,3.0,19,11,0.905,engagement_eleve
f0a4a5b1-1aab-4a0a-951f-2da5249ab295,0,3,1,1,0.333,35.3,151,100,0.0,engagement_faible
a063d4d5-7c44-419c-b986-81967e0d67a7,0,4,4,0,1.0,417.2,853,28,0.611,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,0,5,4,3,0.8,15.0,101,54,0.714,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,0,3,1,2,0.333,17.0,64,35,0.411,ennui
8842e640-013d-4cf1-9278-c25fe7361fc0,0,5,3,2,0.6,16.2,95,49,0.206,engagement_faible
63f27e8a-7319-4e8c-86ed-a9733830f771,0,6,3,0,0.5,55.7,124,65,0.429,ennui
