session_id,timestamp,ear,yaw,pitch,visual_score,emotion_detectee,etat_affectif_final
69563b58-fd7e-426e-94f0-209ec081740e,,0.41,3,-28,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.39,3,-27,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.38,3,-27,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.37,6,-27,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.38,6,-28,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.39,4,-28,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.37,5,-26,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.39,5,-27,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.36,4,-28,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.31,5,-28,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.43,5,-29,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.43,4,-29,0.9,neutre,neutre
69563b58-fd7e-426e-94f0-209ec081740e,,0.41,4,-26,0.9,neutre,neutre
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.22,3,-28,0.7,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.18,8,-37,0.4,ennui,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.24,-19,-34,0.5,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.17,27,-38,0.3,ennui,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.25,2,-26,0.9,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.24,3,-38,0.6,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,,,,0,absent,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,,,,0,absent,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,,,,0,absent,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.18,10,-39,0.4,ennui,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.25,13,-38,0.8,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.28,37,-42,0.5,engagement_faible,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.23,9,-36,0.6,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.28,8,-38,0.8,neutre,engagement_faible
b40798ef-b54e-4ac9-92e7-fd577e2fe282,,0.23,11,-37,0.6,neutre,engagement_faible
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,,,,0,absent,neutre
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,0.27,15,-38,0.8,neutre,neutre
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,0.21,12,-35,0.6,ennui,neutre
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,0.23,7,-35,0.6,neutre,neutre
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,0.23,16,-35,0.5,neutre,neutre
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,0.26,10,-37,0.8,neutre,neutre
d0fdb68b-af47-42a9-8e2f-05476cc648d1,,0.21,-3,-36,0.6,ennui,neutre
738fd4a4-6779-467b-a366-20968d5b37ab,,0.24,-3,-17,0.7,neutre,engagement_eleve
738fd4a4-6779-467b-a366-20968d5b37ab,,0.21,-5,-18,0.7,ennui,engagement_eleve
1c6e880c-f49f-4bba-bb17-46cadca97fcd,,0.25,-6,-22,0.7,neutre,engagement_eleve
1c6e880c-f49f-4bba-bb17-46cadca97fcd,,0.26,1,-24,0.9,neutre,engagement_eleve
1c6e880c-f49f-4bba-bb17-46cadca97fcd,,0.27,0,-22,0.9,neutre,engagement_eleve
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.28,0,-27,0.9,neutre,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.2,-11,-30,0.6,ennui,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.24,-9,-32,0.6,neutre,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.25,-14,-32,0.8,neutre,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.25,-1,-31,0.8,neutre,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.19,0,-30,0.4,ennui,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.12,-20,-28,0.3,ennui,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.29,16,-34,0.7,neutre,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.17,21,-34,0.3,ennui,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.2,-3,-33,0.4,ennui,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.18,-6,-33,0.4,ennui,ennui
a063d4d5-7c44-419c-b986-81967e0d67a7,,0.18,-6,-33,0.4,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.21,-6,-32,0.6,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.21,6,-29,0.7,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.25,1,-28,0.7,neutre,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.2,6,-34,0.6,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.21,8,-33,0.6,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.23,9,-33,0.6,neutre,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.23,6,-33,0.6,neutre,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.27,23,-41,0.7,neutre,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.27,8,-39,0.8,neutre,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.22,8,-41,0.6,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.21,4,-28,0.7,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.16,0,-30,0.5,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.22,7,-32,0.6,neutre,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.21,6,-32,0.6,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.18,16,-41,0.3,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.2,13,-40,0.6,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.12,14,-39,0.3,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.18,12,-38,0.4,ennui,ennui
5aec8d59-3468-4eb2-b89f-1228492b692b,,0.18,12,-39,0.4,ennui,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.18,7,-27,0.5,ennui,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.17,11,-24,0.5,ennui,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.2,55,-31,0,ennui,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.28,-35,-31,0.5,engagement_faible,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.2,13,-25,0.7,ennui,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.31,-12,-28,0.9,frustration,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.16,-3,-25,0.5,ennui,ennui
e4fb03c5-327b-4dfb-ae1e-7b85aeba2d4d,,0.2,13,-23,0.7,ennui,ennui
